City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,sept-iles,50.2001,-66.3821,273.44,98,100,6.17,CA,1670091362
182,pushkar,26.5,74.55,288.25,33,0,1.76,IN,1670091520
183,tilichiki,60.4667,166.1,262.4,85,100,2.67,RU,1670091521
184,vila velha,-20.3297,-40.2925,296.12,99,100,1.03,BR,1670091513
185,kieta,-6.2167,155.6333,298.63,84,100,0.76,PG,1670091165
186,geraldton,-28.7667,114.6,293.38,83,100,5.66,AU,1670091324
187,palanga,55.9175,21.0686,269.16,93,100,2.57,LT,1670091521
188,umtata,-31.5889,28.7844,287.93,92,100,1.74,ZA,1670091522
189,omsukchan,62.5333,155.8,245.5,82,5,2.0,RU,1670091522
190,shimanovsk,52.0,127.7,245.92,94,28,2.8,RU,1670091522
191,chifeng,42.2683,118.9636,260.77,36,0,4.2,CN,1670091523
192,nouadhibou,20.931,-17.0347,293.14,83,0,5.14,MR,1670091523
193,mandalgovi,45.7625,106.2708,257.23,43,0,2.91,MN,1670091524
194,kiama,-34.6833,150.8667,289.82,98,0,3.06,AU,1670091524
195,richards bay,-28.783,32.0377,294.04,78,100,3.75,ZA,1670091525
196,mengcheng,33.2579,116.5655,276.03,60,96,4.33,CN,1670091525
197,port pirie,-33.1833,138.0167,296.48,34,0,2.01,AU,1670091526
198,maltahohe,-24.8333,16.9833,300.23,13,1,8.89,NA,1670091526
199,banepa,27.6298,85.5214,282.33,87,20,2.06,NP,1670091526
200,nata,8.3333,-80.5167,306.08,62,24,4.83,PA,1670091527
201,awbari,26.5921,12.7805,294.93,22,6,5.28,LY,1670091527
202,dudinka,69.4058,86.1778,251.27,100,99,2.09,RU,1670091528
203,port lincoln,-34.7333,135.8667,294.59,47,4,4.7,AU,1670091528
204,kota kinabalu,5.9749,116.0724,299.14,89,20,2.68,MY,1670091528
205,bathsheba,13.2167,-59.5167,302.49,80,40,8.23,BB,1670090957
206,akyab,20.15,92.9,297.22,79,1,3.13,MM,1670091482
207,linqing,36.8456,115.7117,270.95,50,100,2.53,CN,1670091529
208,saldanha,-33.0117,17.9442,289.29,69,100,11.39,ZA,1670091051
209,hailin,44.5833,129.4167,255.47,78,81,3.65,CN,1670091529
210,verkhnyaya inta,65.9811,60.3094,261.6,95,100,6.18,RU,1670091530
211,ryotsu,38.0833,138.4333,285.56,74,86,11.2,JP,1670091530
212,cockburn town,21.4612,-71.1419,301.13,61,40,7.2,TC,1670091490
213,dingle,10.9995,122.6711,297.26,93,66,3.1,PH,1670091506
214,trairi,-3.2778,-39.2689,303.14,57,41,7.06,BR,1670091404
215,iskateley,67.6803,53.1512,260.2,96,86,3.35,RU,1670091531
216,vila franca do campo,37.7167,-25.4333,286.38,80,99,10.2,PT,1670091531
217,saint-francois,46.4154,3.9054,276.84,87,100,3.09,FR,1670091531
218,russkaya polyana,49.417,31.9201,272.23,68,94,6.77,UA,1670091531
219,katsuura,35.1333,140.3,287.99,60,100,9.0,JP,1670091532
220,boende,-0.2167,20.8667,295.07,96,93,0.77,CD,1670091532
221,mercedes,-34.6515,-59.4307,306.4,16,0,2.01,AR,1670091533
222,dunedin,-45.8742,170.5036,286.37,70,92,0.45,NZ,1670091093
223,tessalit,20.1986,1.0114,299.95,15,4,2.27,ML,1670091533
224,cheremukhovo,60.3484,59.9851,255.42,95,46,1.79,RU,1670091534
225,ilulissat,69.2167,-51.1,272.16,80,75,6.17,GL,1670091513
226,sambava,-14.2667,50.1667,298.08,79,36,2.03,MG,1670091534
227,rocha,-34.4833,-54.3333,297.78,51,100,4.91,UY,1670091326
228,minden,52.2833,8.9167,273.12,88,100,4.12,DE,1670091042
229,luau,-10.7073,22.2247,292.8,88,59,1.93,AO,1670091087
230,portalegre,39.2938,-7.4312,282.71,80,86,1.21,PT,1670091535
231,upata,8.0086,-62.3989,302.15,80,81,2.37,VE,1670091535
232,cabo san lucas,22.8909,-109.9124,304.6,52,0,2.57,MX,1670091536
233,tahlequah,35.9154,-94.97,280.27,31,0,3.09,US,1670091292
234,nacogdoches,31.6002,-94.6335,296.95,73,100,2.57,US,1670091536
235,nador,35.174,-2.9287,287.29,82,0,2.06,MA,1670091536
236,machhlishahr,25.6833,82.4167,289.91,52,66,2.1,IN,1670091537
237,nyurba,63.2842,118.3319,250.79,100,98,1.21,RU,1670090947
238,ilebo,-4.3167,20.5833,295.16,97,100,1.73,CD,1670091537
239,groningen,53.25,6.75,274.91,84,100,4.63,NL,1670091296
240,eldorado,-23.7869,-54.2836,302.8,58,99,2.02,BR,1670091051
241,kaka,37.3482,59.6143,277.81,29,95,2.49,TM,1670091489
242,nikolayevka,53.1257,47.2041,258.98,93,7,1.17,RU,1670091538
243,nantucket,41.2835,-70.0995,287.21,88,100,9.26,US,1670091341
244,kaitangata,-46.2817,169.8464,284.69,65,100,4.47,NZ,1670091107
245,sao joao da barra,-21.6403,-41.0511,297.2,93,100,6.81,BR,1670091539
246,strezhevoy,60.7333,77.5889,259.87,95,100,3.95,RU,1670091540
247,yulara,-25.2406,130.9889,298.09,16,0,3.51,AU,1670091540
248,moose factory,51.2585,-80.6094,265.15,79,100,9.26,CA,1670091540
249,khasan,42.4308,130.6434,263.59,54,0,9.92,RU,1670091541
250,kundiawa,-6.0167,144.9667,290.24,99,100,0.26,PG,1670091541
251,hay river,60.8156,-115.7999,259.14,85,75,3.09,CA,1670091542
252,pochutla,15.7432,-96.4661,306.38,42,0,3.19,MX,1670091037
253,zapolyarnyy,69.4154,30.8136,266.75,95,100,1.93,RU,1670090963
